Region,Score
Region A,60.6
Region A,64.86
Region B,64.11
Region A,69.37
Region A,79.55
Region A,60.14
Region B,87.56
Region B,72.05
Region B,68.11
Region A,68.93
Region A,59.65
Region B,71.7
Region B,62.03
Region B,109.47
Region B,80.53
Region A,63.0
Region B,83.21
Region A,68.88
Region B,76.69
Region A,76.14
Region B,91.36
Region B,72.04
Region B,71.36
Region B,75.87
Region A,46.98
Region B,57.27
Region A,83.67
Region A,86.45
Region A,67.51
Region A,75.77
Region B,84.67
Region A,100.79
Region A,81.2
Region A,68.72
Region B,65.67
Region B,55.9
Region B,83.05
Region B,68.65
Region A,55.78
Region A,63.53
Region B,63.78
Region A,86.87
Region A,78.82
Region A,69.92
Region B,102.2
Region B,81.16
Region A,61.39
Region B,102.85
Region B,88.08
Region B,64.44
Region B,77.14
Region B,66.87
Region A,56.17
Region B,93.89
Region A,89.09
Region A,56.01
Region B,88.44
Region A,63.49
Region A,65.13
Region A,64.08
Region B,67.04
Region B,80.73
Region A,61.69
Region B,84.06
Region B,79.25
Region B,76.42
Region B,66.39
Region A,64.23
Region A,77.55
Region B,87.51
Region B,65.34
Region A,70.99
Region A,77.51
Region B,54.96
Region A,75.43
Region B,70.06
Region B,88.56
Region A,62.37
Region A,51.95
Region B,55.59
Region B,80.72
Region A,72.6
Region B,66.44
Region A,76.39
Region B,55.08
Region A,69.34
Region A,57.89
Region A,63.48
Region B,80.71
Region B,67.09
Region A,66.15
Region B,95.09
Region A,64.23
Region A,78.36
Region B,63.05
Region B,87.95
Region A,84.42
Region B,42.93
Region B,68.05
Region A,75.77
Region A,67.97
Region B,85.57
Region A,63.96
Region A,70.87
Region B,77.66
Region A,81.68
Region A,72.54
Region B,85.06
Region B,73.82
Region A,65.12
Region A,65.67
Region B,85.92
Region B,73.69
Region B,84.35
Region B,111.13
Region A,78.71
Region B,75.11
Region B,98.02
Region A,65.92
Region B,49.43
Region A,59.92
Region B,51.94
Region B,74.73
Region B,80.28
Region A,86.76
Region A,73.27
Region B,76.71
Region A,78.29
Region A,47.89
Region A,72.36
Region A,77.71
Region A,55.21
Region A,81.44
Region B,85.08
Region B,73.77
Region A,76.33
Region B,114.06
Region B,82.73
Region B,83.72
Region B,73.11
Region A,61.5
Region B,92.46
Region B,67.16
Region A,70.72
Region A,65.22
Region B,87.18
Region B,85.0
Region B,95.56
Region B,72.35
Region B,75.95
Region B,65.32
Region A,65.56
Region B,85.66
Region B,91.35
Region A,60.78
Region A,78.7
Region A,83.56
Region A,74.13
Region B,108.15
Region B,68.39
Region B,61.33
Region B,53.32
Region B,102.44
Region B,89.82
Region A,69.44
Region B,84.2
Region A,58.75
Region A,94.46
Region B,81.94
Region A,71.09
Region B,90.89
Region A,74.81
Region B,83.36
Region A,62.1
Region B,87.07
Region B,108.23
Region B,100.18
Region B,103.9
Region B,72.33
Region A,60.1
Region A,68.74
Region A,70.56
Region B,96.41
Region A,53.08
Region B,102.94
Region B,77.63
Region A,65.73
Region A,59.88
Region B,55.18
Region A,78.23
Region B,81.1
Region B,60.65
Region B,60.57
Region B,74.96
Region B,105.04
Region A,67.4
Region A,54.97
Region B,76.31
Region B,75.91
Region A,43.03
Region A,69.46
Region B,76.54
Region A,76.96
Region B,107.73
Region A,81.27
Region B,75.97
Region A,58.93
Region B,118.6
Region A,70.59
Region A,70.14
Region B,79.64
Region A,71.98
Region B,77.83
Region A,64.26
Region B,71.8
Region A,69.67
Region B,71.85
Region A,62.87
Region B,81.6
Region A,67.45
Region B,102.56
Region B,40.24
Region B,96.37
Region A,82.46
Region B,48.9
Region A,66.57
Region B,74.43
Region A,55.92
Region B,68.33
Region A,58.89
Region A,87.52
Region B,94.04
Region A,82.72
Region A,77.22
Region B,63.06
Region A,64.75
Region A,74.89
Region A,57.78
Region B,90.69
Region A,67.6
Region B,74.38
