Date,Category,Sales
2023-01-21,Fashion,901.0
2023-01-21,Home & Kitchen,689.0
2023-01-22,Electronics,873.0
2023-01-22,Groceries,1794.0
2023-01-22,Fashion,787.0
2023-01-22,Home & Kitchen,514.0
2023-01-23,Electronics,899.0
2023-01-23,Groceries,1589.0
2023-01-23,Fashion,639.0
2023-01-23,Home & Kitchen,481.0
2023-01-24,Electronics,810.0
2023-01-24,Groceries,1452.0
2023-01-24,Fashion,623.0
2023-01-24,Home & Kitchen,553.0
2023-01-25,Electronics,887.0
2023-01-25,Groceries,1523.0
2023-01-25,Fashion,640.0
2023-01-25,Home & Kitchen,556.0
2023-01-26,Electronics,714.0
2023-01-26,Groceries,1444.0
2023-01-26,Fashion,664.0
2023-01-26,Home & Kitchen,488.0
2023-01-27,Electronics,770.0
2023-01-27,Groceries,1408.0
2023-01-27,Fashion,687.0
2023-01-27,Home & Kitchen,528.0
2023-01-28,Electronics,995.0
2023-01-28,Groceries,1762.0
2023-01-28,Fashion,878.0
2023-01-28,Home & Kitchen,580.0
2023-01-29,Electronics,995.0
2023-01-29,Groceries,1862.0
2023-01-29,Fashion,902.0
2023-01-29,Home & Kitchen,532.0
2023-01-30,Electronics,822.0
2023-01-30,Groceries,1404.0
2023-01-30,Fashion,640.0
2023-01-30,Home & Kitchen,427.0
2023-01-31,Electronics,834.0
2023-01-31,Groceries,1471.0
2023-01-31,Fashion,611.0
2023-01-31,Home & Kitchen,561.0
2023-02-01,Electronics,732.0
2023-02-01,Groceries,1447.0
2023-02-01,Fashion,750.0
2023-02-01,Home & Kitchen,461.0
2023-02-02,Electronics,736.0
2023-02-02,Groceries,1498.0
2023-02-02,Fashion,771.0
2023-02-02,Home & Kitchen,503.0
2023-02-03,Electronics,734.0
2023-02-03,Groceries,1592.0
2023-02-03,Fashion,700.0
2023-02-03,Home & Kitchen,574.0
2023-02-04,Electronics,990.0
2023-02-04,Groceries,1700.0
2023-02-04,Fashion,744.0
2023-02-04,Home & Kitchen,641.0
2023-02-05,Electronics,962.0
2023-02-05,Groceries,1726.0
2023-02-05,Fashion,876.0
2023-02-05,Home & Kitchen,514.0
2023-02-06,Electronics,789.0
2023-02-06,Groceries,1441.0
2023-02-06,Fashion,723.0
2023-02-06,Home & Kitchen,578.0
2023-02-07,Electronics,762.0
2023-02-07,Groceries,1495.0
2023-02-07,Fashion,651.0
2023-02-07,Home & Kitchen,495.0
2023-02-08,Electronics,831.0
2023-02-08,Groceries,1550.0
2023-02-08,Fashion,742.0
2023-02-08,Home & Kitchen,570.0
2023-02-09,Electronics,728.0
2023-02-09,Groceries,1435.0
2023-02-09,Fashion,612.0
2023-02-09,Home & Kitchen,559.0
2023-02-10,Electronics,770.0
2023-02-10,Groceries,1586.0
2023-02-10,Fashion,685.0
2023-02-10,Home & Kitchen,427.0
2023-02-11,Electronics,925.0
2023-02-11,Groceries,1869.0
2023-02-11,Fashion,784.0
2023-02-11,Home & Kitchen,561.0
2023-02-12,Electronics,1044.0
2023-02-12,Groceries,1833.0
2023-02-12,Fashion,767.0
2023-02-12,Home & Kitchen,527.0
2023-02-13,Electronics,807.0
2023-02-13,Groceries,1443.0
2023-02-13,Fashion,683.0
2023-02-13,Home & Kitchen,429.0
2023-02-14,Electronics,889.0
2023-02-14,Groceries,1474.0
2023-02-14,Fashion,727.0
2023-02-14,Home & Kitchen,491.0
2023-02-15,Electronics,889.0
2023-02-15,Groceries,1528.0
2023-02-15,Fashion,720.0
2023-02-15,Home & Kitchen,426.0
2023-02-16,Electronics,889.0
2023-02-16,Groceries,1520.0
2023-02-16,Fashion,715.0
2023-02-16,Home & Kitchen,402.0
2023-02-17,Electronics,802.0
2023-02-17,Groceries,1597.0
2023-02-17,Fashion,799.0
2023-02-17,Home & Kitchen,554.0
2023-02-18,Electronics,996.0
2023-02-18,Groceries,1761.0
2023-02-18,Fashion,904.0
2023-02-18,Home & Kitchen,550.0
2023-02-19,Electronics,1031.0
2023-02-19,Groceries,1851.0
2023-02-19,Fashion,798.0
2023-02-19,Home & Kitchen,617.0
2023-02-20,Electronics,859.0
2023-02-20,Groceries,1495.0
2023-02-20,Fashion,779.0
2023-02-20,Home & Kitchen,512.0
2023-02-21,Electronics,761.0
2023-02-21,Groceries,1585.0
2023-02-21,Fashion,651.0
2023-02-21,Home & Kitchen,411.0
2023-02-22,Electronics,738.0
2023-02-22,Groceries,1529.0
2023-02-22,Fashion,730.0
2023-02-22,Home & Kitchen,512.0
2023-02-23,Electronics,800.0
2023-02-23,Groceries,1512.0
2023-02-23,Fashion,783.0
2023-02-23,Home & Kitchen,480.0
2023-02-24,Electronics,886.0
2023-02-24,Groceries,1512.0
2023-02-24,Fashion,601.0
2023-02-24,Home & Kitchen,529.0
2023-02-25,Electronics,913.0
2023-02-25,Groceries,1786.0
2023-02-25,Fashion,868.0
2023-02-25,Home & Kitchen,646.0
2023-02-26,Electronics,985.0
2023-02-26,Groceries,1829.0
2023-02-26,Fashion,792.0
2023-02-26,Home & Kitchen,671.0
2023-02-27,Electronics,859.0
2023-02-27,Groceries,1597.0
2023-02-27,Fashion,759.0
2023-02-27,Home & Kitchen,467.0
2023-02-28,Electronics,882.0
2023-02-28,Groceries,1583.0
2023-02-28,Fashion,722.0
2023-02-28,Home & Kitchen,544.0
2023-03-01,Electronics,737.0
2023-03-01,Groceries,1423.0
2023-03-01,Fashion,668.0
2023-03-01,Home & Kitchen,515.0
2023-03-02,Electronics,797.0
2023-03-02,Groceries,1597.0
2023-03-02,Fashion,738.0
2023-03-02,Home & Kitchen,543.0
2023-03-03,Electronics,796.0
2023-03-03,Groceries,1523.0
2023-03-03,Fashion,786.0
2023-03-03,Home & Kitchen,469.0
2023-03-04,Electronics,952.0
2023-03-04,Groceries,1702.0
2023-03-04,Fashion,887.0
2023-03-04,Home & Kitchen,686.0
2023-03-05,Electronics,1023.0
2023-03-05,Groceries,1846.0
2023-03-05,Fashion,829.0
2023-03-05,Home & Kitchen,694.0
2023-03-06,Electronics,846.0
2023-03-06,Groceries,1547.0
2023-03-06,Fashion,695.0
2023-03-06,Home & Kitchen,598.0
2023-03-07,Electronics,751.0
2023-03-07,Groceries,1560.0
2023-03-07,Fashion,767.0
2023-03-07,Home & Kitchen,527.0
2023-03-08,Electronics,738.0
2023-03-08,Groceries,1481.0
2023-03-08,Fashion,703.0
2023-03-08,Home & Kitchen,528.0
2023-03-09,Electronics,710.0
2023-03-09,Groceries,1584.0
2023-03-09,Fashion,777.0
2023-03-09,Home & Kitchen,550.0
2023-03-10,Electronics,858.0
2023-03-10,Groceries,1441.0
2023-03-10,Fashion,698.0
2023-03-10,Home & Kitchen,406.0
2023-03-11,Electronics,1003.0
2023-03-11,Groceries,1789.0
2023-03-11,Fashion,851.0
2023-03-11,Home & Kitchen,559.0
2023-03-12,Electronics,972.0
2023-03-12,Groceries,1701.0
2023-03-12,Fashion,868.0
2023-03-12,Home & Kitchen,547.0
2023-03-13,Electronics,839.0
2023-03-13,Groceries,1596.0
2023-03-13,Fashion,636.0
2023-03-13,Home & Kitchen,559.0
2023-03-14,Electronics,708.0
2023-03-14,Groceries,1498.0
2023-03-14,Fashion,746.0
2023-03-14,Home & Kitchen,447.0
2023-03-15,Electronics,830.0
2023-03-15,Groceries,1547.0
2023-03-15,Fashion,751.0
2023-03-15,Home & Kitchen,453.0
2023-03-16,Electronics,819.0
2023-03-16,Groceries,1560.0
2023-03-16,Fashion,751.0
2023-03-16,Home & Kitchen,515.0
2023-03-17,Electronics,774.0
2023-03-17,Groceries,1512.0
2023-03-17,Fashion,799.0
2023-03-17,Home & Kitchen,563.0
2023-03-18,Electronics,1025.0
2023-03-18,Groceries,1803.0
2023-03-18,Fashion,823.0
2023-03-18,Home & Kitchen,611.0
2023-03-19,Electronics,958.0
2023-03-19,Groceries,1852.0
2023-03-19,Fashion,832.0
2023-03-19,Home & Kitchen,645.0
2023-03-20,Electronics,827.0
2023-03-20,Groceries,1509.0
2023-03-20,Fashion,681.0
2023-03-20,Home & Kitchen,593.0
2023-03-21,Electronics,753.0
2023-03-21,Groceries,1562.0
2023-03-21,Fashion,788.0
2023-03-21,Home & Kitchen,568.0
2023-03-22,Electronics,860.0
2023-03-22,Groceries,1467.0
2023-03-22,Fashion,632.0
2023-03-22,Home & Kitchen,541.0
2023-03-23,Electronics,720.0
2023-03-23,Groceries,1447.0
2023-03-23,Fashion,747.0
2023-03-23,Home & Kitchen,527.0
2023-03-24,Electronics,835.0
2023-03-24,Groceries,1534.0
2023-03-24,Fashion,794.0
2023-03-24,Home & Kitchen,544.0
2023-03-25,Electronics,987.0
2023-03-25,Groceries,1732.0
2023-03-25,Fashion,915.0
2023-03-25,Home & Kitchen,686.0
2023-03-26,Electronics,974.0
2023-03-26,Groceries,1818.0
2023-03-26,Fashion,761.0
2023-03-26,Home & Kitchen,657.0
2023-03-27,Electronics,737.0
2023-03-27,Groceries,1508.0
2023-03-27,Fashion,650.0
2023-03-27,Home & Kitchen,581.0
2023-03-28,Electronics,707.0
2023-03-28,Groceries,1426.0
2023-03-28,Fashion,626.0
2023-03-28,Home & Kitchen,420.0
2023-03-29,Electronics,729.0
2023-03-29,Groceries,1496.0
2023-03-29,Fashion,627.0
2023-03-29,Home & Kitchen,510.0
2023-03-30,Electronics,891.0
2023-03-30,Groceries,1596.0
2023-03-30,Fashion,660.0
2023-03-30,Home & Kitchen,447.0
2023-03-31,Electronics,846.0
2023-03-31,Groceries,1403.0
2023-03-31,Fashion,634.0
2023-03-31,Home & Kitchen,591.0
2023-04-01,Electronics,908.0
2023-04-01,Groceries,1716.0
2023-04-01,Fashion,911.0
2023-04-01,Home & Kitchen,657.0
2023-04-02,Electronics,905.0
2023-04-02,Groceries,1816.0
2023-04-02,Fashion,745.0
2023-04-02,Home & Kitchen,598.0
2023-04-03,Electronics,823.0
2023-04-03,Groceries,1436.0
2023-04-03,Fashion,623.0
2023-04-03,Home & Kitchen,492.0
2023-04-04,Electronics,745.0
2023-04-04,Groceries,1580.0
2023-04-04,Fashion,694.0
2023-04-04,Home & Kitchen,498.0
2023-04-05,Electronics,887.0
2023-04-05,Groceries,1515.0
2023-04-05,Fashion,790.0
2023-04-05,Home & Kitchen,559.0
2023-04-06,Electronics,860.0
2023-04-06,Groceries,1466.0
2023-04-06,Fashion,727.0
2023-04-06,Home & Kitchen,417.0
2023-04-07,Electronics,724.0
2023-04-07,Groceries,1453.0
2023-04-07,Fashion,657.0
2023-04-07,Home & Kitchen,466.0
2023-04-08,Electronics,963.0
2023-04-08,Groceries,1873.0
2023-04-08,Fashion,763.0
2023-04-08,Home & Kitchen,613.0
2023-04-09,Electronics,891.0
2023-04-09,Groceries,1874.0
2023-04-09,Fashion,825.0
2023-04-09,Home & Kitchen,650.0
2023-04-10,Electronics,893.0
2023-04-10,Groceries,1526.0
2023-04-10,Fashion,754.0
2023-04-10,Home & Kitchen,529.0
2023-04-11,Electronics,716.0
2023-04-11,Groceries,1503.0
2023-04-11,Fashion,760.0
2023-04-11,Home & Kitchen,536.0
2023-04-12,Electronics,742.0
2023-04-12,Groceries,1575.0
2023-04-12,Fashion,638.0
2023-04-12,Home & Kitchen,569.0
2023-04-13,Electronics,725.0
2023-04-13,Groceries,1498.0
2023-04-13,Fashion,649.0
2023-04-13,Home & Kitchen,552.0
2023-04-14,Electronics,851.0
2023-04-14,Groceries,1412.0
2023-04-14,Fashion,659.0
2023-04-14,Home & Kitchen,534.0
2023-04-15,Electronics,916.0
2023-04-15,Groceries,1735.0
2023-04-15,Fashion,912.0
2023-04-15,Home & Kitchen,519.0
2023-04-16,Electronics,924.0
2023-04-16,Groceries,1707.0
2023-04-16,Fashion,883.0
2023-04-16,Home & Kitchen,641.0
2023-04-17,Electronics,814.0
2023-04-17,Groceries,1542.0
2023-04-17,Fashion,691.0
2023-04-17,Home & Kitchen,497.0
2023-04-18,Electronics,765.0
2023-04-18,Groceries,1431.0
2023-04-18,Fashion,790.0
2023-04-18,Home & Kitchen,485.0
2023-04-19,Electronics,750.0
2023-04-19,Groceries,1552.0
2023-04-19,Fashion,785.0
2023-04-19,Home & Kitchen,462.0
2023-04-20,Electronics,889.0
2023-04-20,Groceries,1524.0
2023-04-20,Fashion,749.0
2023-04-20,Home & Kitchen,457.0
2023-04-21,Electronics,757.0
2023-04-21,Groceries,1485.0
2023-04-21,Fashion,648.0
2023-04-21,Home & Kitchen,579.0
2023-04-22,Electronics,1029.0
2023-04-22,Groceries,1769.0
2023-04-22,Fashion,754.0
2023-04-22,Home & Kitchen,553.0
2023-04-23,Electronics,1047.0
2023-04-23,Groceries,1800.0
2023-04-23,Fashion,747.0
2023-04-23,Home & Kitchen,552.0
2023-04-24,Electronics,759.0
2023-04-24,Groceries,1507.0
2023-04-24,Fashion,604.0
2023-04-24,Home & Kitchen,502.0
2023-04-25,Electronics,895.0
2023-04-25,Groceries,1405.0
2023-04-25,Fashion,708.0
2023-04-25,Home & Kitchen,515.0
2023-04-26,Electronics,793.0
2023-04-26,Groceries,1446.0
2023-04-26,Fashion,698.0
2023-04-26,Home & Kitchen,454.0
2023-04-27,Electronics,867.0
2023-04-27,Groceries,1451.0
2023-04-27,Fashion,743.0
2023-04-27,Home & Kitchen,412.0
2023-04-28,Electronics,813.0
2023-04-28,Groceries,1523.0
2023-04-28,Fashion,705.0
2023-04-28,Home & Kitchen,557.0
2023-04-29,Electronics,1006.0
2023-04-29,Groceries,1844.0
2023-04-29,Fashion,859.0
2023-04-29,Home & Kitchen,562.0
2023-04-30,Electronics,878.0
2023-04-30,Groceries,1791.0
2023-04-30,Fashion,797.0
2023-04-30,Home & Kitchen,682.0
2023-05-01,Electronics,789.0
2023-05-01,Groceries,1516.0
2023-05-01,Fashion,661.0
2023-05-01,Home & Kitchen,422.0
2023-05-02,Electronics,826.0
2023-05-02,Groceries,1536.0
2023-05-02,Fashion,739.0
2023-05-02,Home & Kitchen,528.0
2023-05-03,Electronics,757.0
2023-05-03,Groceries,1521.0
2023-05-03,Fashion,600.0
2023-05-03,Home & Kitchen,433.0
2023-05-04,Electronics,795.0
2023-05-04,Groceries,1525.0
2023-05-04,Fashion,717.0
2023-05-04,Home & Kitchen,447.0
2023-05-05,Electronics,788.0
2023-05-05,Groceries,1516.0
2023-05-05,Fashion,728.0
2023-05-05,Home & Kitchen,415.0
2023-05-06,Electronics,1048.0
2023-05-06,Groceries,1891.0
2023-05-06,Fashion,930.0
2023-05-06,Home & Kitchen,568.0
2023-05-07,Electronics,881.0
2023-05-07,Groceries,1792.0
2023-05-07,Fashion,934.0
2023-05-07,Home & Kitchen,575.0
2023-05-08,Electronics,853.0
2023-05-08,Groceries,1543.0
2023-05-08,Fashion,778.0
2023-05-08,Home & Kitchen,485.0
2023-05-09,Electronics,884.0
2023-05-09,Groceries,1428.0
2023-05-09,Fashion,668.0
2023-05-09,Home & Kitchen,446.0
2023-05-10,Electronics,793.0
2023-05-10,Groceries,1589.0
2023-05-10,Fashion,796.0
2023-05-10,Home & Kitchen,543.0
2023-05-11,Electronics,875.0
2023-05-11,Groceries,1484.0
2023-05-11,Fashion,638.0
2023-05-11,Home & Kitchen,499.0
2023-05-12,Electronics,732.0
2023-05-12,Groceries,1500.0
2023-05-12,Fashion,622.0
2023-05-12,Home & Kitchen,409.0
2023-05-13,Electronics,928.0
2023-05-13,Groceries,1799.0
2023-05-13,Fashion,773.0
2023-05-13,Home & Kitchen,679.0
2023-05-14,Electronics,997.0
2023-05-14,Groceries,1846.0
2023-05-14,Fashion,925.0
2023-05-14,Home & Kitchen,595.0
2023-05-15,Electronics,700.0
2023-05-15,Groceries,1468.0
2023-05-15,Fashion,603.0
2023-05-15,Home & Kitchen,415.0
2023-05-16,Electronics,723.0
2023-05-16,Groceries,1479.0
2023-05-16,Fashion,601.0
2023-05-16,Home & Kitchen,527.0
2023-05-17,Electronics,859.0
2023-05-17,Groceries,1483.0
2023-05-17,Fashion,751.0
2023-05-17,Home & Kitchen,539.0
2023-05-18,Electronics,877.0
2023-05-18,Groceries,1562.0
2023-05-18,Fashion,723.0
2023-05-18,Home & Kitchen,432.0
2023-05-19,Electronics,860.0
2023-05-19,Groceries,1588.0
2023-05-19,Fashion,778.0
2023-05-19,Home & Kitchen,570.0
2023-05-20,Electronics,960.0
2023-05-20,Groceries,1711.0
2023-05-20,Fashion,806.0
2023-05-20,Home & Kitchen,564.0
2023-05-21,Electronics,1020.0
2023-05-21,Groceries,1867.0
2023-05-21,Fashion,813.0
2023-05-21,Home & Kitchen,542.0
2023-05-22,Electronics,743.0
2023-05-22,Groceries,1428.0
2023-05-22,Fashion,740.0
2023-05-22,Home & Kitchen,411.0
2023-05-23,Electronics,794.0
2023-05-23,Groceries,1445.0
2023-05-23,Fashion,729.0
2023-05-23,Home & Kitchen,434.0
2023-05-24,Electronics,780.0
2023-05-24,Groceries,1489.0
2023-05-24,Fashion,607.0
2023-05-24,Home & Kitchen,492.0
2023-05-25,Electronics,853.0
2023-05-25,Groceries,1489.0
2023-05-25,Fashion,761.0
2023-05-25,Home & Kitchen,514.0
2023-05-26,Electronics,804.0
2023-05-26,Groceries,1534.0
2023-05-26,Fashion,795.0
2023-05-26,Home & Kitchen,457.0
2023-05-27,Electronics,973.0
2023-05-27,Groceries,1774.0
2023-05-27,Fashion,896.0
2023-05-27,Home & Kitchen,619.0
2023-05-28,Electronics,1023.0
2023-05-28,Groceries,1720.0
2023-05-28,Fashion,903.0
2023-05-28,Home & Kitchen,637.0
2023-05-29,Electronics,800.0
2023-05-29,Groceries,1551.0
2023-05-29,Fashion,791.0
2023-05-29,Home & Kitchen,576.0
2023-05-30,Electronics,798.0
2023-05-30,Groceries,1435.0
2023-05-30,Fashion,695.0
2023-05-30,Home & Kitchen,551.0
2023-05-31,Electronics,850.0
2023-05-31,Groceries,1589.0
2023-05-31,Fashion,636.0
2023-05-31,Home & Kitchen,411.0
2023-06-01,Electronics,812.0
2023-06-01,Groceries,1582.0
2023-06-01,Fashion,612.0
2023-06-01,Home & Kitchen,422.0
2023-06-02,Electronics,798.0
2023-06-02,Groceries,1504.0
2023-06-02,Fashion,629.0
2023-06-02,Home & Kitchen,416.0
2023-06-03,Electronics,972.0
2023-06-03,Groceries,1761.0
2023-06-03,Fashion,823.0
2023-06-03,Home & Kitchen,611.0
2023-06-04,Electronics,945.0
2023-06-04,Groceries,1840.0
2023-06-04,Fashion,926.0
2023-06-04,Home & Kitchen,518.0
2023-06-05,Electronics,876.0
2023-06-05,Groceries,1499.0
2023-06-05,Fashion,739.0
2023-06-05,Home & Kitchen,588.0
2023-06-06,Electronics,846.0
2023-06-06,Groceries,1475.0
2023-06-06,Fashion,608.0
2023-06-06,Home & Kitchen,598.0
2023-06-07,Electronics,727.0
2023-06-07,Groceries,1527.0
2023-06-07,Fashion,651.0
2023-06-07,Home & Kitchen,482.0
2023-06-08,Electronics,810.0
2023-06-08,Groceries,1543.0
2023-06-08,Fashion,716.0
2023-06-08,Home & Kitchen,468.0
2023-06-09,Electronics,798.0
2023-06-09,Groceries,1539.0
2023-06-09,Fashion,624.0
2023-06-09,Home & Kitchen,579.0
2023-06-10,Electronics,982.0
2023-06-10,Groceries,1752.0
2023-06-10,Fashion,890.0
2023-06-10,Home & Kitchen,643.0
2023-06-11,Electronics,916.0
2023-06-11,Groceries,1738.0
2023-06-11,Fashion,848.0
2023-06-11,Home & Kitchen,680.0
2023-06-12,Electronics,741.0
2023-06-12,Groceries,1585.0
2023-06-12,Fashion,766.0
2023-06-12,Home & Kitchen,541.0
2023-06-13,Electronics,821.0
2023-06-13,Groceries,1532.0
2023-06-13,Fashion,762.0
2023-06-13,Home & Kitchen,474.0
2023-06-14,Electronics,845.0
2023-06-14,Groceries,1475.0
2023-06-14,Fashion,608.0
2023-06-14,Home & Kitchen,473.0
2023-06-15,Electronics,885.0
2023-06-15,Groceries,1544.0
2023-06-15,Fashion,606.0
2023-06-15,Home & Kitchen,573.0
2023-06-16,Electronics,840.0
2023-06-16,Groceries,1567.0
2023-06-16,Fashion,769.0
2023-06-16,Home & Kitchen,536.0
2023-06-17,Electronics,1037.0
2023-06-17,Groceries,1726.0
2023-06-17,Fashion,861.0
2023-06-17,Home & Kitchen,693.0
2023-06-18,Electronics,864.0
2023-06-18,Groceries,1728.0
2023-06-18,Fashion,904.0
2023-06-18,Home & Kitchen,665.0
2023-06-19,Electronics,782.0
2023-06-19,Groceries,1535.0
2023-06-19,Fashion,708.0
2023-06-19,Home & Kitchen,464.0
2023-06-20,Electronics,785.0
2023-06-20,Groceries,1544.0
2023-06-20,Fashion,670.0
2023-06-20,Home & Kitchen,444.0
2023-06-21,Electronics,831.0
2023-06-21,Groceries,1435.0
2023-06-21,Fashion,669.0
2023-06-21,Home & Kitchen,558.0
2023-06-22,Electronics,718.0
2023-06-22,Groceries,1588.0
2023-06-22,Fashion,707.0
2023-06-22,Home & Kitchen,581.0
2023-06-23,Electronics,866.0
2023-06-23,Groceries,1490.0
2023-06-23,Fashion,689.0
2023-06-23,Home & Kitchen,418.0
2023-06-24,Electronics,898.0
2023-06-24,Groceries,1825.0
2023-06-24,Fashion,934.0
2023-06-24,Home & Kitchen,672.0
2023-06-25,Electronics,1000.0
2023-06-25,Groceries,1825.0
2023-06-25,Fashion,797.0
2023-06-25,Home & Kitchen,647.0
2023-06-26,Electronics,899.0
2023-06-26,Groceries,1460.0
2023-06-26,Fashion,726.0
2023-06-26,Home & Kitchen,504.0
2023-06-27,Electronics,866.0
2023-06-27,Groceries,1400.0
2023-06-27,Fashion,730.0
2023-06-27,Home & Kitchen,491.0
2023-06-28,Electronics,889.0
2023-06-28,Groceries,1590.0
2023-06-28,Fashion,712.0
2023-06-28,Home & Kitchen,552.0
2023-06-29,Electronics,755.0
2023-06-29,Groceries,1560.0
2023-06-29,Fashion,765.0
2023-06-29,Home & Kitchen,516.0
2023-06-30,Electronics,833.0
2023-06-30,Groceries,1457.0
2023-06-30,Fashion,643.0
2023-06-30,Home & Kitchen,572.0
2023-07-01,Electronics,1019.0
2023-07-01,Groceries,1872.0
2023-07-01,Fashion,800.0
2023-07-01,Home & Kitchen,546.0
2023-07-02,Electronics,1008.0
2023-07-02,Groceries,1779.0
2023-07-02,Fashion,857.0
2023-07-02,Home & Kitchen,663.0
2023-07-03,Electronics,846.0
2023-07-03,Groceries,1419.0
2023-07-03,Fashion,784.0
2023-07-03,Home & Kitchen,545.0
2023-07-04,Electronics,746.0
2023-07-04,Groceries,1448.0
2023-07-04,Fashion,613.0
2023-07-04,Home & Kitchen,542.0
2023-07-05,Electronics,858.0
2023-07-05,Groceries,1400.0
2023-07-05,Fashion,716.0
2023-07-05,Home & Kitchen,453.0
2023-07-06,Electronics,817.0
2023-07-06,Groceries,1402.0
2023-07-06,Fashion,743.0
2023-07-06,Home & Kitchen,584.0
2023-07-07,Electronics,711.0
2023-07-07,Groceries,1473.0
2023-07-07,Fashion,615.0
2023-07-07,Home & Kitchen,599.0
2023-07-08,Electronics,961.0
2023-07-08,Groceries,1851.0
2023-07-08,Fashion,895.0
2023-07-08,Home & Kitchen,616.0
2023-07-09,Electronics,867.0
2023-07-09,Groceries,1821.0
2023-07-09,Fashion,831.0
2023-07-09,Home & Kitchen,663.0
2023-07-10,Electronics,789.0
2023-07-10,Groceries,1535.0
2023-07-10,Fashion,785.0
2023-07-10,Home & Kitchen,459.0
2023-07-11,Electronics,877.0
2023-07-11,Groceries,1427.0
2023-07-11,Fashion,700.0
2023-07-11,Home & Kitchen,440.0
2023-07-12,Electronics,891.0
2023-07-12,Groceries,1554.0
2023-07-12,Fashion,790.0
2023-07-12,Home & Kitchen,544.0
2023-07-13,Electronics,860.0
2023-07-13,Groceries,1556.0
2023-07-13,Fashion,740.0
2023-07-13,Home & Kitchen,445.0
2023-07-14,Electronics,734.0
2023-07-14,Groceries,1533.0
2023-07-14,Fashion,681.0
2023-07-14,Home & Kitchen,514.0
2023-07-15,Electronics,1056.0
2023-07-15,Groceries,1746.0
2023-07-15,Fashion,892.0
2023-07-15,Home & Kitchen,693.0
2023-07-16,Electronics,869.0
2023-07-16,Groceries,1755.0
2023-07-16,Fashion,769.0
2023-07-16,Home & Kitchen,608.0
2023-07-17,Electronics,704.0
2023-07-17,Groceries,1518.0
2023-07-17,Fashion,632.0
2023-07-17,Home & Kitchen,517.0
2023-07-18,Electronics,764.0
2023-07-18,Groceries,1545.0
2023-07-18,Fashion,776.0
2023-07-18,Home & Kitchen,410.0
2023-07-19,Electronics,784.0
2023-07-19,Groceries,1425.0
2023-07-19,Fashion,662.0
2023-07-19,Home & Kitchen,485.0
2023-07-20,Electronics,758.0
2023-07-20,Groceries,1426.0
2023-07-20,Fashion,776.0
2023-07-20,Home & Kitchen,560.0
2023-07-21,Electronics,797.0
2023-07-21,Groceries,1504.0
2023-07-21,Fashion,698.0
2023-07-21,Home & Kitchen,528.0
2023-07-22,Electronics,1008.0
